date,city,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,t2m,d2m,sp,blh,u10,v10
2015-03-21,Bengaluru,48.59,,3.47,27.0,18.04,28.02,3.89,1.94,52.96,91.0,Satisfactory,300.303338125,281.864540625,91777.69525,1044.8550223020834,-2.822910932291667,1.1539173813541663
2015-03-22,Bengaluru,47.38,,2.84,22.39,15.33,23.19,11.29,2.05,71.85,120.0,Moderate,301.19020427083336,283.05209802083334,91669.39844791668,1112.9182067395834,-2.3479034514062502,0.9642981363708332
2015-03-23,Bengaluru,65.65,,3.1,26.35,17.45,27.76,9.95,6.3,72.84,154.0,Moderate,301.72387114583336,286.6847890625,91544.72782291664,1129.4250994791666,-1.327358444375,0.4425994831249999
2015-03-24,Bengaluru,60.47,,5.39,29.87,20.88,35.1,1.46,6.07,64.12,119.0,Moderate,301.56929802083334,286.89201916666667,91458.61185416668,1257.1016755625,-2.2692282874479166,0.5851439253125
2015-03-25,Bengaluru,62.56,,3.16,23.57,16.39,27.13,10.05,4.98,82.34,232.0,Poor,300.97927718750003,286.87296197916663,91557.37234375,1295.268403,-3.0369067875,1.4096424450624998
2015-03-26,Bengaluru,60.73,,4.16,32.07,21.03,34.71,1.44,1.67,67.21,132.0,Moderate,300.372225,287.57501572916664,91689.35348958334,1172.931662166667,-3.186381433333333,1.10202180434375
2015-03-27,Bengaluru,42.1,,4.01,25.55,17.37,30.96,2.85,2.46,51.93,123.0,Moderate,300.00410885416665,286.33093354166664,91712.49440625,1081.9968370833333,-2.7130526319791666,0.6707890939166666
2015-03-28,Bengaluru,40.0,,2.93,17.99,11.36,28.74,8.07,2.5,44.65,152.0,Moderate,300.1631323958333,286.74058395833333,91590.06421875,1051.6875529166666,-2.5648750479166664,1.3494821660166665
2015-03-29,Bengaluru,32.16,,2.38,12.9,8.3,21.5,8.53,2.08,56.31,143.0,Moderate,300.4380440625,286.99627770833337,91477.178375,1110.0713227083334,-1.9729866859791667,1.4495554108645834
2015-03-30,Bengaluru,30.78,,2.68,16.23,14.63,26.96,1.46,2.63,49.52,80.0,Satisfactory,300.8814657291667,287.8008428125,91476.89092708332,1097.5928722916667,-1.76317393115625,1.7915491408541666
2015-03-31,Bengaluru,38.99,,2.6,10.97,12.7,27.52,1.79,2.79,47.67,90.0,Satisfactory,300.5543355208333,290.2010427083333,91520.49852083332,1005.547645625,-1.7343908215312498,1.0402972552395833
2015-04-01,Bengaluru,36.42,,2.68,8.83,9.13,31.37,9.6,3.17,48.25,151.0,Moderate,300.2218713541667,291.906718125,91504.86885416666,844.7112555208333,-0.6919455795520834,1.2170355579583334
2015-04-02,Bengaluru,38.15,,4.24,10.29,9.99,43.09,4.06,7.65,53.26,123.0,Moderate,301.41528875,290.03257375,91398.77855208334,862.7620457395833,0.3145165017166667,1.3080807858125
2015-04-03,Bengaluru,35.11,,2.63,5.99,6.82,26.04,5.34,2.32,57.75,178.0,Moderate,301.43183385416665,290.59409229166664,91287.44808333334,902.6189197604168,0.7927297310729168,-0.0839279947291666
2015-04-04,Bengaluru,36.68,,3.63,12.89,10.88,40.71,1.47,3.29,76.36,101.0,Moderate,302.4716470833333,290.30955208333336,91143.86130208334,936.3445444375,-0.2516027061562499,0.1884022934687499
2015-04-05,Bengaluru,36.92,,2.2,9.0,7.6,26.22,9.58,4.07,65.62,160.0,Moderate,302.8331870833333,291.0209390625,91201.9758125,983.3102109375,-0.8457071667770834,1.4343480011041667
2015-04-06,Bengaluru,31.78,,2.48,8.14,8.06,22.34,0.55,7.22,54.31,71.0,Satisfactory,302.33165583333334,291.618385,91250.26672916667,875.2773389583334,-0.2480427775104166,1.53387419234375
2015-04-07,Bengaluru,37.25,,2.86,7.14,11.25,17.78,2.3,5.88,60.42,76.0,Satisfactory,302.02826114583337,290.91765875,91316.94989583331,1019.6879060416668,-1.1892213821104167,1.3528711471875
2015-04-08,Bengaluru,29.8,,2.59,9.04,7.52,24.2,6.84,1.84,49.55,153.0,Moderate,301.9652151041667,290.4116384375,91435.65559375,1071.2286158333334,-1.056260063825,1.8462101699479163
2015-04-09,Bengaluru,25.06,,3.21,8.72,7.2,29.83,5.82,2.6,42.63,80.0,Satisfactory,301.69649895833334,290.70081677083334,91483.64230208332,1103.655174375,-1.3731576841291666,1.9133228371041664
2015-04-10,Bengaluru,24.4,,6.87,7.46,8.7,23.17,5.19,2.03,44.47,129.0,Moderate,301.4034578125,291.00042510416665,91517.2325,928.2029118333334,0.0246015102916666,1.4050432059760416
2015-04-11,Bengaluru,32.08,,6.6,7.09,8.82,30.95,1.7,3.22,53.91,107.0,Moderate,300.75903385416666,290.3801008333333,91573.75359375,893.8305111875001,0.4801411619062499,0.18274729353125
2015-04-12,Bengaluru,19.72,,1.81,4.97,5.51,34.85,2.65,5.16,44.53,122.0,Moderate,297.17485416666665,292.12722479166666,91705.74790625,635.5485535416666,-0.0225374430937499,-0.0067737584510416
